Unique_ID,Strain,CopyNumber
U276,GPAP-CI-82-KP10-29,104
U276,LIGO,177
U276,MBO-NG-74-R10,258
U276,MSUS-CI-78-TSW-157,134
U276,MSUS-CI-82-TSW62,101
U276,AGAL-CI-78-TCH312-bis,118
U276,Kazakstan,150
U276,MALC-BF-80-AB14,222
U276,MBO-NG-74-R10-bis,231
U276,MBOT-CI-78-TC348,254
U276,MKOK-BF-80-KK1,268
U276,MKOK-BF-80-KK25,353
U276,MKOK-BF-90-KK17,125
U276,MSUS-CI-78-TSW187-bis,184
U276,MTRG-BF-80-TS2,116
U277,280104,213
U277,ABBA,134
U277,American-Strain,120
U277,GPAP-CI-82-KP10-29,110
U277,LIGO,164
U277,MBO-NG-74-R10,343
U277,MSUS-CI-78-TSW-157,186
U277,MSUS-CI-82-TSW62,126
U277,AGAL-CI-78-TCH312-bis,162
U277,AnTar-2,130
U277,ATCC-30019,123
U277,ATCC30019,108
U277,Kazakstan,204
U277,MALC-BF-80-AB14,349
U277,MALC-BF-80-AB25,114
U277,MBO-NG-74-R10-bis,355
U277,MBOT-CI-78-TC348,365
U277,MKOD-BF-80-KD3,166
U277,MKOK-BF-80-KK1,401
U277,MKOK-BF-80-KK25,494
U277,MKOK-BF-90-KK17,196
U277,MSUS-CI-78-TSW129-cloneC,112
U277,MSUS-CI-78-TSW178,175
U277,MSUS-CI-78-TSW187-bis,273
U277,MSUS-CI-78-TSW390-bis,124
U277,MTRG-BF-80-TS2,162
U277,Philippines,134
U278,280104,137
U278,ABBA,150
U278,AGAL-CI-78-TCH312,143
U278,GPAP-CI-82-KP10-29,101
U278,LIGO,258
U278,MBO-NG-74-R10,427
U278,MSUS-CI-78-TSW-157,160
U278,MSUS-CI-82-TSW62,112
U278,AGAL-CI-78-TCH312-bis,159
U278,Kazakstan,140
U278,MALC-BF-80-AB14,244
U278,MALC-BF-80-AB25,110
U278,MBO-NG-74-R10-bis,332
U278,MBOT-CI-78-TC348,302
U278,MKOD-BF-80-KD3,163
U278,MKOK-BF-80-KK1,319
U278,MKOK-BF-80-KK25,492
U278,MKOK-BF-90-KK17,139
U278,MOERBEKE-103,135
U278,MSUS-CI-78-TSW129-cloneC,107
U278,MSUS-CI-78-TSW178,153
U278,MSUS-CI-78-TSW187-bis,223
U278,MSUS-CI-82-TSW53,114
U278,MTRG-BF-80-TS2,153
U279,280104,204
U279,ABBA,189
U279,AGAL-CI-78-TCH312,156
U279,GPAP-CI-82-KP10-29,137
U279,LIGO,261
U279,MBO-NG-74-R10,533
U279,MSUS-CI-78-TSW-157,217
U279,MSUS-CI-82-TSW62,158
U279,AGAL-CI-78-TCH312-bis,233
U279,AnTar-2,128
U279,ATCC-30019,109
U279,ITMAP1892,108
U279,Kazakstan,168
U279,MALC-BF-80-AB14,376
U279,MALC-BF-80-AB25,132
U279,MBO-NG-74-R10-bis,621
U279,MBOT-CI-78-TC348,443
U279,MHOM-CI-79-MURAZ3,115
U279,MKOD-BF-80-KD3,214
U279,MKOK-BF-80-KK1,562
U279,MKOK-BF-80-KK25,728
U279,MKOK-BF-80-KK7,159
U279,MKOK-BF-90-KK17,218
U279,MOERBEKE-103,190
U279,MSUS-CI-78-TSW129-cloneC,144
U279,MSUS-CI-78-TSW176,122
U279,MSUS-CI-78-TSW178,198
U279,MSUS-CI-78-TSW185-bis,115
U279,MSUS-CI-78-TSW185-cloneC,102
U279,MSUS-CI-78-TSW187-bis,334
U279,MSUS-CI-78-TSW190,102
U279,MSUS-CI-78-TSW390,103
U279,MSUS-CI-78-TSW390-bis,121
U279,MSUS-CI-82-TSW171,141
U279,MSUS-CI-82-TSW31-KP1,141
U279,MSUS-CI-82-TSW53,173
U279,MSUS-CI-82-TSW62-bis,125
U279,MSUS-NG-62-B8-18-cloneB,108
U279,MTRG-BF-80-TS2,222
U280,280104,161
U280,ABBA,206
U280,AGAL-CI-78-TCH312,170
U280,GPAP-CI-82-KP10-29,143
U280,LIGO,326
U280,MBO-NG-74-R10,548
U280,MSUS-CI-78-TSW-157,254
U280,MSUS-CI-82-TSW62,152
U280,OUSOU,105
U280,AGAL-CI-78-TCH312-bis,170
U280,ITMAP1892,103
U280,Kazakstan,153
U280,MALC-BF-80-AB14,344
U280,MALC-BF-80-AB25,125
U280,MBO-NG-74-R10-bis,537
U280,MBOT-CI-78-TC348,407
U280,MHOM-CI-79-MURAZ3,123
U280,MKOD-BF-80-KD3,197
U280,MKOK-BF-80-KK1,475
U280,MKOK-BF-80-KK25,689
U280,MKOK-BF-80-KK7,133
U280,MKOK-BF-90-KK17,188
U280,MOERBEKE-103,172
U280,MSUS-CI-78-TSW129-cloneC,119
U280,MSUS-CI-78-TSW168,109
U280,MSUS-CI-78-TSW176,124
U280,MSUS-CI-78-TSW178,182
U280,MSUS-CI-78-TSW185-bis,102
U280,MSUS-CI-78-TSW185-cloneC,101
U280,MSUS-CI-78-TSW187-bis,306
U280,MSUS-CI-78-TSW390-bis,108
U280,MSUS-CI-82-TSW171,122
U280,MSUS-CI-82-TSW23,113
U280,MSUS-CI-82-TSW31-KP1,111
U280,MSUS-CI-82-TSW53,143
U280,MSUS-CI-82-TSW62-bis,103
U280,MSUS-NG-62-B8-18-cloneB,105
U280,MTRG-BF-80-TS2,190
U280,Philippines,122
U281,280104,122
U281,ABBA,154
U281,AGAL-CI-78-TCH312,154
U281,GPAP-CI-82-KP10-29,121
U281,LIGO,243
U281,MBO-NG-74-R10,433
U281,MSUS-CI-78-TSW-157,191
U281,MSUS-CI-82-TSW62,116
U281,AGAL-CI-78-TCH312-bis,181
U281,Kazakstan,152
U281,MALC-BF-80-AB14,298
U281,MBO-NG-74-R10-bis,432
U281,MBOT-CI-78-TC348,320
U281,MKOD-BF-80-KD3,146
U281,MKOK-BF-80-KK1,389
U281,MKOK-BF-80-KK25,485
U281,MKOK-BF-90-KK17,141
U281,MOERBEKE-103,158
U281,MSUS-CI-78-TSW178,168
U281,MSUS-CI-78-TSW187-bis,261
U281,MSUS-CI-78-TSW390-bis,106
U281,MSUS-CI-82-TSW53,123
U281,MSUS-CI-82-TSW62-bis,103
U281,MTRG-BF-80-TS2,160
U282,280104,113
U282,ABBA,120
U282,LIGO,193
U282,MBO-NG-74-R10,379
U282,MSUS-CI-78-TSW-157,138
U282,AGAL-CI-78-TCH312-bis,144
U282,Kazakstan,123
U282,MALC-BF-80-AB14,241
U282,MBO-NG-74-R10-bis,375
U282,MBOT-CI-78-TC348,263
U282,MKOD-BF-80-KD3,126
U282,MKOK-BF-80-KK1,287
U282,MKOK-BF-80-KK25,412
U282,MKOK-BF-90-KK17,130
U282,MOERBEKE-103,128
U282,MSUS-CI-78-TSW178,118
U282,MSUS-CI-78-TSW187-bis,214
U282,MSUS-CI-82-TSW53,103
U282,MTRG-BF-80-TS2,142
U283,280104,133
U283,ABBA,178
U283,AGAL-CI-78-TCH312,146
U283,GPAP-CI-82-KP10-29,139
U283,LIGO,293
U283,MBO-NG-74-R10,416
U283,MSUS-CI-78-TSW-157,200
U283,MSUS-CI-82-TSW62,130
U283,AGAL-CI-78-TCH312-bis,185
U283,Kazakstan,147
U283,MALC-BF-80-AB14,274
U283,MBO-NG-74-R10-bis,444
U283,MBOT-CI-78-TC348,357
U283,MKOD-BF-80-KD3,156
U283,MKOK-BF-80-KK1,364
U283,MKOK-BF-80-KK25,551
U283,MKOK-BF-80-KK7,114
U283,MKOK-BF-90-KK17,152
U283,MOERBEKE-103,172
U283,MSUS-CI-78-TSW178,146
U283,MSUS-CI-78-TSW187-bis,222
U283,MSUS-CI-78-TSW390-bis,104
U283,MSUS-CI-82-TSW53,119
U283,MTRG-BF-80-TS2,147
U284,280104,150
U284,ABBA,205
U284,AGAL-CI-78-TCH312,136
U284,GPAP-CI-82-KP10-29,145
U284,LIGO,329
U284,MBO-NG-74-R10,484
U284,MSUS-CI-78-TSW-157,198
U284,MSUS-CI-82-TSW62,155
U284,AGAL-CI-78-TCH312-bis,183
U284,AnTar-2,101
U284,ATCC-30019,109
U284,Kazakstan,148
U284,MALC-BF-80-AB14,330
U284,MALC-BF-80-AB25,113
U284,MBO-NG-74-R10-bis,464
U284,MBOT-CI-78-TC348,349
U284,MKOD-BF-80-KD3,175
U284,MKOK-BF-80-KK1,427
U284,MKOK-BF-80-KK25,503
U284,MKOK-BF-80-KK7,130
U284,MKOK-BF-90-KK17,178
U284,MOERBEKE-103,198
U284,MSUS-CI-78-TSW129-cloneC,106
U284,MSUS-CI-78-TSW178,142
U284,MSUS-CI-78-TSW187-bis,239
U284,MSUS-CI-78-TSW390-bis,105
U284,MSUS-CI-82-TSW53,115
U284,MSUS-CI-82-TSW62-bis,123
U284,MTRG-BF-80-TS2,173
U285,280104,191
U285,ABBA,205
U285,AGAL-CI-78-TCH312,201
U285,American-Strain,145
U285,GPAP-CI-82-KP10-29,133
U285,LIGO,269
U285,MBO-NG-74-R10,535
U285,MSUS-CI-78-TSW-157,233
U285,MSUS-CI-82-TSW62,160
U285,NKOUA,114
U285,OUSOU,108
U285,AGAL-CI-78-TCH312-bis,233
U285,ATCC-30019,123
U285,ATCC30019,109
U285,GUIWI-BOBO80-MURAZ18,105
U285,Kazakstan,170
U285,LOKO-BIIT,124
U285,LOKO-BIIT-P2,103
U285,MALC-BF-80-AB14,358
U285,MALC-BF-80-AB25,131
U285,MBO-NG-74-R10-bis,512
U285,MBOT-CI-78-TC348,393
U285,MHOM-CI-79-MURAZ3,115
U285,MKOD-BF-80-KD3,160
U285,MKOK-BF-80-KK1,485
U285,MKOK-BF-80-KK25,653
U285,MKOK-BF-80-KK7,157
U285,MKOK-BF-90-KK17,177
U285,MOERBEKE-103,220
U285,MSUS-CI-78-TSW129-cloneC,145
U285,MSUS-CI-78-TSW176,103
U285,MSUS-CI-78-TSW178,183
U285,MSUS-CI-78-TSW185-bis,103
U285,MSUS-CI-78-TSW185-cloneA,108
U285,MSUS-CI-78-TSW185-cloneC,103
U285,MSUS-CI-78-TSW187-bis,269
U285,MSUS-CI-78-TSW390,101
U285,MSUS-CI-78-TSW390-bis,120
U285,MSUS-CI-82-TSW171,108
U285,MSUS-CI-82-TSW31-KP1,116
U285,MSUS-CI-82-TSW53,124
U285,MSUS-CI-82-TSW62-bis,105
U285,MTRG-BF-80-TS2,216
U286,280104,139
U286,ABBA,164
U286,AGAL-CI-78-TCH312,159
U286,GPAP-CI-82-KP10-29,118
U286,LIGO,263
U286,MBO-NG-74-R10,450
U286,MSUS-CI-78-TSW-157,212
U286,MSUS-CI-82-TSW62,127
U286,AGAL-CI-78-TCH312-bis,203
U286,Kazakstan,144
U286,MALC-BF-80-AB14,279
U286,MALC-BF-80-AB25,120
U286,MBO-NG-74-R10-bis,450
U286,MBOT-CI-78-TC348,333
U286,MKOD-BF-80-KD3,143
U286,MKOK-BF-80-KK1,427
U286,MKOK-BF-80-KK25,521
U286,MKOK-BF-80-KK7,106
U286,MKOK-BF-90-KK17,136
U286,MOERBEKE-103,167
U286,MSUS-CI-78-TSW129-cloneC,104
U286,MSUS-CI-78-TSW178,145
U286,MSUS-CI-78-TSW187-bis,237
U286,MSUS-CI-82-TSW53,121
U286,MTRG-BF-80-TS2,168
U287,280104,107
U287,ABBA,174
U287,AGAL-CI-78-TCH312,123
U287,GPAP-CI-82-KP10-29,107
U287,LIGO,253
U287,MBO-NG-74-R10,462
U287,MSUS-CI-78-TSW-157,171
U287,MSUS-CI-82-TSW62,126
U287,AGAL-CI-78-TCH312-bis,159
U287,Kazakstan,144
U287,MALC-BF-80-AB14,234
U287,MBO-NG-74-R10-bis,385
U287,MBOT-CI-78-TC348,292
U287,MKOD-BF-80-KD3,146
U287,MKOK-BF-80-KK1,338
U287,MKOK-BF-80-KK25,460
U287,MKOK-BF-90-KK17,149
U287,MOERBEKE-103,143
U287,MSUS-CI-78-TSW129-cloneC,119
U287,MSUS-CI-78-TSW178,143
U287,MSUS-CI-78-TSW187-bis,214
U287,MSUS-CI-82-TSW171,102
U287,MSUS-CI-82-TSW53,115
U287,MTRG-BF-80-TS2,125
U288,280104,130
U288,ABBA,182
U288,AGAL-CI-78-TCH312,123
U288,LIGO,240
U288,MBO-NG-74-R10,411
U288,MSUS-CI-78-TSW-157,163
U288,AGAL-CI-78-TCH312-bis,179
U288,Kazakstan,121
U288,MALC-BF-80-AB14,243
U288,MBO-NG-74-R10-bis,388
U288,MBOT-CI-78-TC348,277
U288,MKOD-BF-80-KD3,126
U288,MKOK-BF-80-KK1,288
U288,MKOK-BF-80-KK25,417
U288,MKOK-BF-90-KK17,104
U288,MOERBEKE-103,133
U288,MSUS-CI-78-TSW178,115
U288,MSUS-CI-78-TSW187-bis,187
U288,MSUS-CI-82-TSW53,105
U288,MTRG-BF-80-TS2,129
U289,280104,161
U289,ABBA,196
U289,AGAL-CI-78-TCH312,146
U289,GPAP-CI-82-KP10-29,119
U289,LIGO,262
U289,MBO-NG-74-R10,485
U289,MSUS-CI-78-TSW-157,188
U289,MSUS-CI-82-TSW62,107
U289,OUSOU,104
U289,AGAL-CI-78-TCH312-bis,168
U289,Kazakstan,179
U289,MALC-BF-80-AB14,292
U289,MALC-BF-80-AB25,113
U289,MBO-NG-74-R10-bis,423
U289,MBOT-CI-78-TC348,304
U289,MKOD-BF-80-KD3,141
U289,MKOK-BF-80-KK1,374
U289,MKOK-BF-80-KK25,475
U289,MKOK-BF-90-KK17,161
U289,MOERBEKE-103,164
U289,MSUS-CI-78-TSW178,138
U289,MSUS-CI-78-TSW185-cloneC,116
U289,MSUS-CI-78-TSW187-bis,256
U289,MSUS-CI-82-TSW53,124
U289,MTRG-BF-80-TS2,157
U290,280104,151
U290,ABBA,195
U290,AGAL-CI-78-TCH312,132
U290,GPAP-CI-82-KP10-29,110
U290,LIGO,298
U290,MBO-NG-74-R10,485
U290,MSUS-CI-78-TSW-157,191
U290,MSUS-CI-82-TSW62,122
U290,AGAL-CI-78-TCH312-bis,208
U290,Kazakstan,121
U290,MALC-BF-80-AB14,268
U290,MBO-NG-74-R10-bis,417
U290,MBOT-CI-78-TC348,309
U290,MKOD-BF-80-KD3,140
U290,MKOK-BF-80-KK1,364
U290,MKOK-BF-80-KK25,497
U290,MKOK-BF-80-KK7,101
U290,MKOK-BF-90-KK17,143
U290,MOERBEKE-103,149
U290,MSUS-CI-78-TSW178,145
U290,MSUS-CI-78-TSW187-bis,238
U290,MSUS-CI-82-TSW171,111
U290,MSUS-CI-82-TSW53,123
U290,MSUS-CI-82-TSW62-bis,101
U290,MSUS-NG-62-B8-18-cloneB,105
U290,MTRG-BF-80-TS2,162
U291,280104,130
U291,ABBA,179
U291,AGAL-CI-78-TCH312,195
U291,American-Strain,104
U291,GPAP-CI-82-KP10-29,128
U291,LIGO,283
U291,MBO-NG-74-R10,498
U291,MCAP-CI-91-BALEA-2,128
U291,MSUS-CI-78-TSW-157,233
U291,MSUS-CI-82-TSW62,143
U291,OUSOU,106
U291,AGAL-CI-78-TCH312-bis,179
U291,ATCC30019,101
U291,Kazakstan,176
U291,LOKO-BIIT,103
U291,MALC-BF-80-AB14,290
U291,MALC-BF-80-AB25,118
U291,MBO-NG-74-R10-bis,448
U291,MBOT-CI-78-TC348,337
U291,MKOD-BF-80-KD3,166
U291,MKOK-BF-80-KK1,409
U291,MKOK-BF-80-KK25,535
U291,MKOK-BF-80-KK7,110
U291,MKOK-BF-90-KK17,196
U291,MOERBEKE-103,176
U291,MSUS-CI-78-TSW129-cloneC,118
U291,MSUS-CI-78-TSW178,149
U291,MSUS-CI-78-TSW187-bis,268
U291,MSUS-CI-78-TSW390-bis,103
U291,MSUS-CI-82-TSW171,114
U291,MSUS-CI-82-TSW53,140
U291,MTRG-BF-80-TS2,153
U292,280104,130
U292,ABBA,180
U292,AGAL-CI-78-TCH312,138
U292,Bosendja,140
U292,GPAP-CI-82-KP10-29,106
U292,LIGO,291
U292,MBO-NG-74-R10,478
U292,MSUS-CI-78-TSW-157,219
U292,MSUS-CI-82-TSW62,127
U292,Nabe,112
U292,NDMI,148
U292,NKOUA,132
U292,OUSOU,117
U292,ROUPO-VAVOUA--80-MURAZ-14,110
U292,AGAL-CI-78-TCH312-bis,188
U292,ATCC-30019,108
U292,ATCC30019,101
U292,Kazakstan,148
U292,KIN-1,168
U292,LOKO,107
U292,LOKO-BIIT,180
U292,LOKO-BIIT-P2,160
U292,MALC-BF-80-AB14,311
U292,MALC-BF-80-AB25,105
U292,MBO-NG-74-R10-bis,415
U292,MBOT-CI-78-TC348,341
U292,MKOD-BF-80-KD3,151
U292,MKOK-BF-80-KK1,391
U292,MKOK-BF-80-KK25,535
U292,MKOK-BF-80-KK7,129
U292,MKOK-BF-90-KK17,177
U292,MOERBEKE-103,240
U292,MSUS-CI-78-TSW178,155
U292,MSUS-CI-78-TSW187-bis,247
U292,MSUS-CI-78-TSW390-bis,109
U292,MSUS-CI-82-TSW171,123
U292,MSUS-CI-82-TSW53,129
U292,MSUS-CI-82-TSW62-bis,108
U292,MTRG-BF-80-TS2,146
U293,280104,175
U293,ABBA,234
U293,AGAL-CI-78-TCH312,154
U293,ALJO,137
U293,AMBOU,129
U293,American-Strain,126
U293,Bosendja,213
U293,GPAP-CI-82-KP10-29,151
U293,LIGO,337
U293,LiTat-1-5-P9,104
U293,MBO-NG-74-R10,581
U293,MSUS-CI-78-TSW-157,248
U293,MSUS-CI-82-TSW62,158
U293,Nabe,133
U293,NDMI,214
U293,NKOUA,157
U293,OUSOU,144
U293,ROUPO-VAVOUA--80-MURAZ-14,136
U293,AGAL-CI-78-TCH312-bis,241
U293,AnTar-2,109
U293,ATCC-30019,135
U293,ATCC30019,119
U293,GUIWI-BOBO80-MURAZ18,111
U293,Kazakstan,169
U293,KIN-1,206
U293,KOUAM-DALOA,104
U293,LOKO,123
U293,LOKO-BIIT,242
U293,LOKO-BIIT-P2,202
U293,MALC-BF-80-AB14,402
U293,MALC-BF-80-AB25,126
U293,MBO-NG-74-R10-bis,604
U293,MBOT-CI-78-TC348,406
U293,MHOM-SD-82-SUZENA,128
U293,MKOD-BF-80-KD3,220
U293,MKOK-BF-80-KK1,499
U293,MKOK-BF-80-KK25,673
U293,MKOK-BF-80-KK7,161
U293,MKOK-BF-90-KK17,224
U293,MOERBEKE-103,310
U293,MSUS-CI-78-TSW129-cloneC,122
U293,MSUS-CI-78-TSW168,112
U293,MSUS-CI-78-TSW176,143
U293,MSUS-CI-78-TSW178,203
U293,MSUS-CI-78-TSW185-bis,107
U293,MSUS-CI-78-TSW185-cloneA,120
U293,MSUS-CI-78-TSW185-cloneC,124
U293,MSUS-CI-78-TSW187-bis,339
U293,MSUS-CI-78-TSW190,124
U293,MSUS-CI-78-TSW382-bis,128
U293,MSUS-CI-78-TSW390-bis,124
U293,MSUS-CI-82-TSW171,122
U293,MSUS-CI-82-TSW23,120
U293,MSUS-CI-82-TSW31-KP1,126
U293,MSUS-CI-82-TSW53,193
U293,MSUS-CI-82-TSW62-bis,126
U293,MSUS-NG-62-B8-18-cloneB,148
U293,MTRG-BF-80-TS2,224
U293,Philippines,103
U294,280104,136
U294,ABBA,200
U294,AGAL-CI-78-TCH312,108
U294,Bosendja,159
U294,GPAP-CI-82-KP10-29,135
U294,LIGO,316
U294,MBO-NG-74-R10,439
U294,MSUS-CI-78-TSW-157,196
U294,MSUS-CI-82-TSW62,107
U294,Nabe,126
U294,NDMI,190
U294,NKOUA,156
U294,OUSOU,139
U294,ROUPO-VAVOUA--80-MURAZ-14,104
U294,AGAL-CI-78-TCH312-bis,176
U294,ATCC-30019,105
U294,Kazakstan,117
U294,KIN-1,150
U294,LOKO,112
U294,LOKO-BIIT,149
U294,LOKO-BIIT-P2,176
U294,MALC-BF-80-AB14,302
U294,MALC-BF-80-AB25,110
U294,MBO-NG-74-R10-bis,454
U294,MBOT-CI-78-TC348,325
U294,MKOD-BF-80-KD3,143
U294,MKOK-BF-80-KK1,355
U294,MKOK-BF-80-KK25,455
U294,MKOK-BF-80-KK7,109
U294,MKOK-BF-90-KK17,162
U294,MOERBEKE-103,219
U294,MSUS-CI-78-TSW178,132
U294,MSUS-CI-78-TSW185-cloneA,116
U294,MSUS-CI-78-TSW187-bis,217
U294,MSUS-CI-82-TSW171,102
U294,MSUS-CI-82-TSW53,134
U294,MTRG-BF-80-TS2,135
U295,280104,156
U295,ABBA,240
U295,AGAL-CI-78-TCH312,171
U295,ALJO,135
U295,AMBOU,123
U295,American-Strain,115
U295,Bosendja,205
U295,GPAP-CI-82-KP10-29,185
U295,LIGO,331
U295,LiTat-1-5-P9,138
U295,MBO-NG-74-R10,604
U295,MSUS-CI-78-TSW-157,257
U295,MSUS-CI-78-TSW382,106
U295,MSUS-CI-82-TSW62,164
U295,Nabe,133
U295,NDMI,242
U295,NKOUA,219
U295,OUSOU,143
U295,ROUPO-VAVOUA--80-MURAZ-14,165
U295,AGAL-CI-78-TCH312-bis,219
U295,AnTar-2,117
U295,ATCC-30019,131
U295,ATCC30019,110
U295,GUIWI-BOBO80-MURAZ18,113
U295,ITMAP1892,114
U295,Kazakstan,177
U295,KIN-1,199
U295,LOKO,134
U295,LOKO-BIIT,228
U295,LOKO-BIIT-P2,209
U295,MALC-BF-80-AB14,395
U295,MALC-BF-80-AB25,128
U295,MBO-NG-74-R10-bis,587
U295,MBOT-CI-78-TC348,422
U295,MKOD-BF-80-KD3,193
U295,MKOK-BF-80-KK1,465
U295,MKOK-BF-80-KK25,638
U295,MKOK-BF-80-KK7,138
U295,MKOK-BF-90-KK17,191
U295,MOERBEKE-103,286
U295,MSUS-CI-78-TSW129-cloneC,128
U295,MSUS-CI-78-TSW168,103
U295,MSUS-CI-78-TSW176,110
U295,MSUS-CI-78-TSW178,164
U295,MSUS-CI-78-TSW185-bis,101
U295,MSUS-CI-78-TSW185-cloneA,110
U295,MSUS-CI-78-TSW185-cloneC,118
U295,MSUS-CI-78-TSW187-bis,313
U295,MSUS-CI-78-TSW382-bis,104
U295,MSUS-CI-78-TSW390-bis,128
U295,MSUS-CI-82-TSW171,118
U295,MSUS-CI-82-TSW31-KP1,113
U295,MSUS-CI-82-TSW53,153
U295,MSUS-CI-82-TSW62-bis,109
U295,MTRG-BF-80-TS2,208
U295,Philippines,104
U296,280104,206
U296,ABBA,232
U296,AGAL-CI-78-TCH312,163
U296,ALJO,146
U296,American-Strain,111
U296,Bosendja,214
U296,GPAP-CI-82-KP10-29,145
U296,LIGO,340
U296,LiTat-1-5-P9,103
U296,MBO-NG-74-R10,546
U296,MSUS-CI-78-TSW-157,257
U296,MSUS-CI-82-TSW62,163
U296,Nabe,118
U296,NDMI,220
U296,NKOUA,190
U296,OUSOU,163
U296,ROUPO-VAVOUA--80-MURAZ-14,141
U296,AGAL-CI-78-TCH312-bis,242
U296,AnTar-2,112
U296,ATCC-30019,104
U296,ATCC30019,127
U296,Kazakstan,188
U296,KIN-1,207
U296,LOKO,130
U296,LOKO-BIIT,243
U296,LOKO-BIIT-P2,213
U296,MALC-BF-80-AB14,345
U296,MALC-BF-80-AB25,135
U296,MBO-NG-74-R10-bis,573
U296,MBOT-CI-78-TC348,393
U296,MKOD-BF-80-KD3,211
U296,MKOK-BF-80-KK1,451
U296,MKOK-BF-80-KK25,673
U296,MKOK-BF-80-KK7,152
U296,MKOK-BF-90-KK17,215
U296,MOERBEKE-103,310
U296,MSUS-CI-78-TSW129-cloneC,128
U296,MSUS-CI-78-TSW168,101
U296,MSUS-CI-78-TSW176,119
U296,MSUS-CI-78-TSW178,223
U296,MSUS-CI-78-TSW185-bis,113
U296,MSUS-CI-78-TSW185-cloneC,115
U296,MSUS-CI-78-TSW187-bis,314
U296,MSUS-CI-78-TSW382-bis,107
U296,MSUS-CI-78-TSW390-bis,112
U296,MSUS-CI-82-TSW171,127
U296,MSUS-CI-82-TSW23,113
U296,MSUS-CI-82-TSW31-KP1,119
U296,MSUS-CI-82-TSW36,110
U296,MSUS-CI-82-TSW53,154
U296,MSUS-CI-82-TSW62-bis,104
U296,MSUS-CI-82-TSW65-KP1-bis,107
U296,MSUS-NG-62-B8-18-cloneB,126
U296,MTRG-BF-80-TS2,213
U296,Philippines,117
U297,280104,163
U297,ABBA,214
U297,AGAL-CI-78-TCH312,171
U297,ALJO,123
U297,AMBOU,107
U297,American-Strain,114
U297,Bosendja,186
U297,GPAP-CI-82-KP10-29,131
U297,LIGO,314
U297,LiTat-1-5-P9,123
U297,MBO-NG-74-R10,591
U297,MHOM-SD-82-MUSIKIA-cloneA,105
U297,MSUS-CI-78-TSW-157,260
U297,MSUS-CI-82-TSW62,160
U297,Nabe,125
U297,NDMI,201
U297,NKOUA,197
U297,OUSOU,140
U297,ROUPO-VAVOUA--80-MURAZ-14,126
U297,AGAL-CI-78-TCH312-bis,248
U297,ATCC-30019,114
U297,GUIWI-BOBO80-MURAZ18,135
U297,ITMAP1892,103
U297,Kazakstan,159
U297,KIN-1,206
U297,KOUAM-DALOA,101
U297,LOKO,151
U297,LOKO-BIIT,225
U297,LOKO-BIIT-P2,180
U297,MALC-BF-80-AB14,405
U297,MALC-BF-80-AB25,157
U297,MBO-NG-74-R10-bis,602
U297,MBOT-CI-78-TC348,379
U297,MHOM-CI-79-MURAZ3,101
U297,MKOD-BF-80-KD3,215
U297,MKOK-BF-80-KK1,467
U297,MKOK-BF-80-KK25,674
U297,MKOK-BF-80-KK7,157
U297,MKOK-BF-90-KK17,198
U297,MOERBEKE-103,275
U297,MSUS-CI-78-TSW129-cloneC,134
U297,MSUS-CI-78-TSW168,113
U297,MSUS-CI-78-TSW176,132
U297,MSUS-CI-78-TSW178,194
U297,MSUS-CI-78-TSW185-cloneC,104
U297,MSUS-CI-78-TSW187-bis,337
U297,MSUS-CI-78-TSW190,111
U297,MSUS-CI-78-TSW382-bis,113
U297,MSUS-CI-78-TSW390-bis,136
U297,MSUS-CI-82-TSW171,141
U297,MSUS-CI-82-TSW23,104
U297,MSUS-CI-82-TSW31-KP1,110
U297,MSUS-CI-82-TSW53,174
U297,MSUS-CI-82-TSW62-bis,132
U297,MSUS-NG-62-B8-18-cloneB,130
U297,MTRG-BF-80-TS2,194
U297,Philippines,106
U298,280104,144
U298,ABBA,190
U298,AGAL-CI-78-TCH312,115
U298,ALJO,119
U298,AMBOU,101
U298,American-Strain,101
U298,Bosendja,174
U298,GPAP-CI-82-KP10-29,126
U298,LIGO,298
U298,LiTat-1-5-P9,105
U298,MBO-NG-74-R10,493
U298,MSUS-CI-78-TSW-157,236
U298,MSUS-CI-82-TSW62,136
U298,Nabe,125
U298,NDMI,186
U298,NKOUA,147
U298,OUSOU,142
U298,ROUPO-VAVOUA--80-MURAZ-14,131
U298,AGAL-CI-78-TCH312-bis,183
U298,Kazakstan,138
U298,KIN-1,165
U298,LOKO,123
U298,LOKO-BIIT,193
U298,LOKO-BIIT-P2,183
U298,MALC-BF-80-AB14,304
U298,MALC-BF-80-AB25,111
U298,MBO-NG-74-R10-bis,438
U298,MBOT-CI-78-TC348,325
U298,MKOD-BF-80-KD3,168
U298,MKOK-BF-80-KK1,390
U298,MKOK-BF-80-KK25,485
U298,MKOK-BF-90-KK17,168
U298,MOERBEKE-103,252
U298,MSUS-CI-78-TSW178,132
U298,MSUS-CI-78-TSW185-cloneA,107
U298,MSUS-CI-78-TSW187-bis,245
U298,MSUS-CI-78-TSW390-bis,113
U298,MSUS-CI-82-TSW53,147
U298,MTRG-BF-80-TS2,151
U299,280104,161
U299,ABBA,175
U299,AGAL-CI-78-TCH312,154
U299,ALJO,139
U299,AMBOU,106
U299,American-Strain,112
U299,Bosendja,155
U299,GPAP-CI-82-KP10-29,122
U299,LIGO,266
U299,LiTat-1-5-P9,114
U299,MBO-NG-74-R10,472
U299,MSUS-CI-78-TSW-157,228
