Unique_ID,Strain,CopyNumber
U9,108AT,278
U9,108BT,330
U9,15BT-relapse,210
U9,174BT,124
U9,19BT,113
U9,223AT,153
U9,340AT,133
U9,346AT-relapse,177
U9,346BT,224
U9,348BT,234
U9,349BT,137
U9,40AT,183
U9,40BT,161
U9,45BT,123
U9,48BT,130
U9,57AT,145
U9,93AT,221
U9,95BT,156
U9,LOGRA,133
U9,MBA,303
U9,AnTat-11-17,151
U9,Frala,183
U9,INRB-2009-56A-15BT,113
U9,KOLO,145
U9,NTUMA,271
U10,104AT,123
U10,104BT,142
U10,105BT,313
U10,108AT,330
U10,108BT,396
U10,113AT,123
U10,113BT,140
U10,141BT,135
U10,148BT,126
U10,15BT-relapse,243
U10,163AT,125
U10,163AT-relapse,102
U10,167AT,116
U10,167BT,114
U10,174BT,132
U10,19BT,161
U10,223AT,186
U10,340AT,166
U10,346AT-relapse,256
U10,346BT,311
U10,348BT,310
U10,349BT,170
U10,378BT,127
U10,40AT,246
U10,40BT,208
U10,45BT,148
U10,48BT,170
U10,57AT,161
U10,93AT,299
U10,95BT,194
U10,LOGRA,159
U10,MBA,350
U10,Nabe,109
U10,AnTat-11-17,212
U10,Frala,198
U10,INRB-2009-56A-15BT,161
U10,KOLO,183
U10,Mongo,134
U10,NTUMA,333
U11,104AT,131
U11,104BT,133
U11,105BT,295
U11,108AT,292
U11,108BT,337
U11,113AT,105
U11,113BT,126
U11,141BT,148
U11,148BT,125
U11,15BT-relapse,262
U11,167BT,129
U11,174BT,124
U11,19BT,157
U11,223AT,208
U11,340AT,158
U11,346AT-relapse,239
U11,346BT,293
U11,348BT,282
U11,349BT,157
U11,378BT,128
U11,40AT,226
U11,40BT,191
U11,45BT,156
U11,48BT,157
U11,57AT,146
U11,93AT,307
U11,95BT,168
U11,LOGRA,139
U11,MBA,310
U11,AnTat-11-17,200
U11,Frala,235
U11,INRB-2009-56A-15BT,165
U11,KOLO,180
U11,Mongo,123
U11,NTUMA,281
U12,104AT,118
U12,104BT,128
U12,105BT,316
U12,108AT,331
U12,108BT,354
U12,113AT,121
U12,113BT,126
U12,141BT,142
U12,15BT-relapse,237
U12,167AT,104
U12,167BT,125
U12,174AT,111
U12,174BT,120
U12,19BT,150
U12,223AT,177
U12,340AT,143
U12,346AT-relapse,224
U12,346BT,284
U12,348BT,334
U12,349BT,192
U12,378BT,102
U12,40AT,220
U12,40BT,236
U12,45BT,135
U12,48BT,170
U12,57AT,170
U12,85BT,114
U12,93AT,310
U12,95BT,176
U12,LOGRA,157
U12,MBA,371
U12,AnTat-11-17,191
U12,Frala,263
U12,INRB-2009-56A-15BT,165
U12,KOLO,203
U12,MOERBEKE-82,103
U12,Mongo,149
U12,NTUMA,327
U13,104AT,102
U13,105BT,234
U13,108AT,238
U13,108BT,272
U13,15BT-relapse,195
U13,174BT,103
U13,19BT,148
U13,223AT,133
U13,340AT,124
U13,346AT-relapse,147
U13,346BT,207
U13,348BT,231
U13,349BT,124
U13,378BT,101
U13,40AT,180
U13,40BT,150
U13,45BT,103
U13,48BT,119
U13,57AT,107
U13,93AT,196
U13,95BT,134
U13,MBA,276
U13,AnTat-11-17,162
U13,Frala,142
U13,KOLO,138
U13,NTUMA,225
U14,104AT,111
U14,104BT,126
U14,105BT,280
U14,108AT,356
U14,108BT,354
U14,113BT,121
U14,141BT,124
U14,15BT-relapse,227
U14,167BT,126
U14,174BT,125
U14,19BT,146
U14,223AT,160
U14,340AT,138
U14,346AT-relapse,192
U14,346BT,278
U14,348BT,306
U14,349BT,167
U14,378BT,126
U14,40AT,200
U14,40BT,199
U14,45BT,147
U14,48BT,148
U14,57AT,160
U14,93AT,240
U14,95BT,167
U14,LOGRA,137
U14,MBA,371
U14,AnTat-11-17,182
U14,Frala,197
U14,INRB-2009-56A-15BT,127
U14,KOLO,186
U14,Mongo,102
U14,NTUMA,283
U15,104AT,118
U15,104BT,142
U15,105BT,267
U15,108AT,313
U15,108BT,351
U15,113AT,125
U15,113BT,112
U15,141BT,125
U15,148BT,113
U15,15BT-relapse,250
U15,163AT,112
U15,167BT,112
U15,174BT,148
U15,19BT,155
U15,223AT,200
U15,340AT,164
U15,346AT-relapse,201
