Strain,Total Reads,Total < 170,Total > 170,CN = 1,CN > 5,CN > 20,CN > 50,CN > 100
ABBA,376051,11577,145610,108051,6205,1292,476,291
AGAL-CI-78-TCH312,186133,4824,95888,76365,2299,447,269,41
Alfort,123540,3590,41797,27310,3495,757,56,0
ALJO,77878,1208,24325,16133,1963,616,62,9
AMBOU,100460,2207,45702,38147,2116,575,72,6
American-Strain,124310,3110,39313,24695,2893,512,220,31
AnTat-12-1S,2811154,44826,638165,471811,33513,6899,2272,2083
BIM-AnTat-8-1-P8,56140,885,21605,16752,1144,461,45,0
Bosendja,115171,1605,32025,22277,2357,784,242,47
FEO,2265963,34195,513212,375593,30905,6776,1947,1448
FEO-AnTat-16-1,2151591,35535,550168,416290,29246,6069,1740,1328
GMOM-ZM-83-TRPZ-317,850523,21305,268687,202933,13482,2848,662,861
GPAP-CI-82-KP10-29,281350,8969,130528,101872,4504,693,461,73
Jua,30553,1153,14189,11235,585,189,7,0
LIGO,510032,15785,204960,158275,7871,1493,532,471
LiTat-1-5-P9,106299,1930,28165,20003,2289,818,272,13
LOGRA,82193,891,27575,21855,1295,374,205,74
MBA,188207,2162,46891,36166,2464,759,297,311
MBO-NG-74-R10,396694,6759,162440,125068,6002,436,272,468
MBOT-GM-77-GB2,157632,3665,62492,45002,3243,739,203,27
MCAP-CI-91-BALEA-2,272245,7286,123360,99093,3746,797,399,163
MHOM-SD-82-BIYAMINA,3204853,76061,819909,628012,40423,7851,2541,2057
MHOM-SD-82-MUSIKIA-cloneA,131550,2039,48332,37713,2548,1066,160,14
MHOM-ZM-80-TRPZ-23,1553779,39421,481394,364762,23072,4111,1153,1082
MHOM-ZM-83-TRPZ-349,2183409,55725,786887,655813,25992,5859,1622,1321
MSUS-CI-78-TSW-157,469030,10707,159532,114631,8088,1513,612,469
MSUS-CI-78-TSW382,121091,5387,66241,53595,1717,400,67,1
MSUS-CI-82-TSW62,287364,8562,121681,91753,5357,884,430,88
MSUS-CI-83-TSW-11,334098,8205,129939,102405,4210,822,696,254
Nabe,145099,2677,54092,42214,2879,733,300,28
NDMI,135506,1681,35710,25436,2674,1170,241,64
NKOUA,126071,1994,46610,36977,2499,859,179,23
OUSOU,158461,3093,46173,35703,2564,1163,419,61
Pakwa,84379,1277,31691,23656,1863,455,170,0
ROUPO-VAVOUA--80-MURAZ-14,150203,2481,40404,30335,2560,1138,412,50
Rumphi,1526126,33624,469831,364597,21527,4007,997,1255
STIB-851,1391512,30082,368921,275420,21346,4560,1061,971
AnTat-1-1,1073839,19786,237331,158991,17490,3024,442,938
13_97D,5135,328,3321,2676,65,0,0,0
14_97D,76,7,66,64,0,0,0,0
15_97D,3346,249,2299,1867,13,0,0,0
A005,18450,556,10801,8703,502,6,0,0
AGAL-CI-78-TCH312-bis,237061,9144,105833,80230,3219,673,295,124
AnTar-2,338254,11052,121217,84507,7169,1635,478,68
