Strain,Type,Total,QC_passed,QC_failed,Secondary,Supplementary,Duplicates,Mapped,Mapped_percent,Paired,Read1,Read2,Properly_paired,Properly_paired_percent,Self_and_mate_mapped,Singletons,Singletons_percent,Mate_mapped_diff_chr,Mate_mapped_diff_chr_mapQ_ge_5
American-Strain,Normal,25414729 25414729 0 0 323305 0 455424 0 25091424 12545712 12545712 21147094 0 22494658 186300 0 455424 455424
American-Strain,TBR,124310 124310 0 0 305 0 2367 0 124005 61986 62019 116780 0 123795 105 0 2367 2367
AnTar-2,Normal,35355373 35355373 0 0 466463 0 826225 0 34888910 17444455 17444455 28575284 0 30646400 378285 0 826225 826225
AnTar-2,TBR,338254 338254 0 0 1114 0 5811 0 337140 168544 168596 315232 0 336256 442 0 5811 5811
AnTar-30,Normal,31070431 31070431 0 0 430831 0 744022 0 30639600 15319800 15319800 24067330 0 25876928 397255 0 744022 744022
AnTar-30,TBR,82163 82163 0 0 460 0 3559 0 81703 40861 40842 73994 0 81501 101 0 3559 3559
AnTar-7,Normal,28705792 28705792 0 0 295852 0 570150 0 28409940 14204970 14204970 24728300 0 26158588 238310 0 570150 570150
AnTar-7,TBR,71939 71939 0 0 190 0 1013 0 71749 35891 35858 68372 0 71643 53 0 1013 1013
AnTat-1-1,Normal,28221316 28221316 0 0 311688 0 722817 0 27909628 13954814 13954814 23275040 0 25001560 302190 0 722817 722817
AnTat-1-1,TBR,1073839 1073839 0 0 2991 0 16431 0 1070848 535270 535578 1005698 0 1068094 1377 0 16431 16431
AnTat-11-17,Normal,23570657 23570657 0 0 200477 0 428341 0 23370180 11685090 11685090 20375176 0 21434354 160746 0 428341 428341
AnTat-11-17,TBR,91225 91225 0 0 36 0 120 0 91189 45590 45599 90270 0 91103 43 0 120 120
AnTat-1-1E,Normal,25328877 25328877 0 0 300793 0 659434 0 25028084 12514042 12514042 20564564 0 22151904 308695 0 659434 659434
AnTat-1-1E,TBR,1032730 1032730 0 0 2874 0 14531 0 1029856 514742 515114 975472 0 1027416 1220 0 14531 14531
AnTat-12-1S,Normal,48274437 48274437 0 0 533061 0 988073 0 47741376 23870688 23870688 39341636 0 41733328 568289 0 988073 988073
AnTat-12-1S,TBR,2811154 2811154 0 0 7573 0 25366 0 2803581 1401675 1401906 2710210 0 2798945 2318 0 25366 25366
AnTat-17-1,Normal,28381540 28381540 0 0 347450 0 613053 0 28034090 14017045 14017045 23176612 0 24654766 293047 0 613053 613053
AnTat-17-1,TBR,317913 317913 0 0 3030 0 9802 0 314883 157323 157560 292212 0 314301 291 0 9802 9802
AnTat-21-1,Normal,40240362 40240362 0 0 378702 0 698758 0 39861660 19930830 19930830 34804092 0 36677082 220478 0 698758 698758
AnTat-21-1,TBR,25490 25490 0 0 34 0 98 0 25456 12713 12743 24764 0 25402 27 0 98 98
AnTat-25-1S,Normal,28468170 28468170 0 0 325706 0 647178 0 28142464 14071232 14071232 22520940 0 24123596 289905 0 647178 647178
AnTat-25-1S,TBR,2086057 2086057 0 0 6598 0 27034 0 2079459 1039482 1039977 1977946 0 2074229 2615 0 27034 27034
AnTat-25-1S-bis,Normal,36229433 36229433 0 0 195977 0 422787 0 36033456 18016728 18016728 32566110 0 33560590 194068 0 422787 422787
